method,params,val_accuracy,test_accuracy
NeuralNet,"{'n_hidden': 50, 'n_layers': 2, 'learning_rate': 0.000557169767516111, 'dropout_prob': 0.4837246593921374, 'n_epochs': 36, 'batch_size': 184, 'weight_positives': False}",0.7342262851852923,0.6923291665374236
NeuralNet,"{'n_hidden': 50, 'n_layers': 2, 'learning_rate': 0.000557169767516111, 'dropout_prob': 0.4837246593921374, 'n_epochs': 36, 'batch_size': 184, 'weight_positives': False}",0.7012757832614922,0.7018517944104965
NeuralNet,"{'n_hidden': 357, 'n_layers': 1, 'learning_rate': 0.000638317769282266, 'dropout_prob': 0.43294010693072316, 'n_epochs': 20, 'batch_size': 167, 'weight_positives': False}",0.7063384152515404,0.6719501225224107
NeuralNet,"{'n_hidden': 357, 'n_layers': 1, 'learning_rate': 0.000638317769282266, 'dropout_prob': 0.43294010693072316, 'n_epochs': 20, 'batch_size': 167, 'weight_positives': False}",0.6887783145774871,0.6562238282825149
NeuralNet,"{'n_hidden': 357, 'n_layers': 1, 'learning_rate': 0.000638317769282266, 'dropout_prob': 0.43294010693072316, 'n_epochs': 20, 'batch_size': 167, 'weight_positives': False}",0.7012757832614921,0.6907782499457179
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0006063342790954361, 'dropout_prob': 0.7278789617548795, 'n_epochs': 57, 'batch_size': 198, 'weight_positives': False}",0.7416611218792489,0.709048047396011
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0006063342790954361, 'dropout_prob': 0.7278789617548795, 'n_epochs': 57, 'batch_size': 198, 'weight_positives': False}",0.7195591170769808,0.7065045441856137
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0006063342790954361, 'dropout_prob': 0.7278789617548795, 'n_epochs': 57, 'batch_size': 198, 'weight_positives': False}",0.7188358839355454,0.6641955395638822
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.00022889585202624045, 'dropout_prob': 0.2, 'n_epochs': 36, 'batch_size': 200, 'weight_positives': False}",0.691873752422831,0.6964235863395266
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.00022889585202624045, 'dropout_prob': 0.2, 'n_epochs': 36, 'batch_size': 200, 'weight_positives': False}",0.7108803193797553,0.7041781692980551
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.00022889585202624045, 'dropout_prob': 0.2, 'n_epochs': 36, 'batch_size': 200, 'weight_positives': False}",0.6954899181300084,0.6948726697478209
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.0008965040067113394, 'dropout_prob': 0.2, 'n_epochs': 68, 'batch_size': 200, 'weight_positives': False}",0.7342262851852923,0.6845745835788952
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.0008965040067113394, 'dropout_prob': 0.2, 'n_epochs': 68, 'batch_size': 200, 'weight_positives': False}",0.7284404200538085,0.6845745835788951
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.0008965040067113394, 'dropout_prob': 0.2, 'n_epochs': 68, 'batch_size': 200, 'weight_positives': False}",0.7313333526195505,0.6892273333540122
NeuralNet,"{'n_hidden': 209, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.4360939636712673, 'n_epochs': 100, 'batch_size': 50, 'weight_positives': False}",0.7181126507941099,0.6938800831291293
